 crate_id | slot | fem_channel | wireplane | wirenum 
        2 |   18 |          53 | Y         |      21
        1 |   18 |          21 | U         |      21
        2 |   17 |          11 | V         |      21
        2 |   17 |          13 | V         |      22
        2 |   18 |          54 | Y         |      22
        1 |   18 |          22 | U         |      22
        2 |   17 |          15 | V         |      23
        2 |   18 |          55 | Y         |      23
        1 |   18 |          23 | U         |      23
        2 |   18 |          56 | Y         |      24
        2 |   17 |          17 | V         |      24
        1 |   18 |          24 | U         |      24
        1 |   18 |          25 | U         |      25
        2 |   17 |          19 | V         |      25
        2 |   18 |          57 | Y         |      25
        1 |   18 |          26 | U         |      26
        2 |   18 |          58 | Y         |      26
        2 |   17 |          21 | V         |      26
        1 |   18 |          27 | U         |      27
        2 |   17 |          23 | V         |      27
        2 |   18 |          59 | Y         |      27
        2 |   17 |          25 | V         |      28
        2 |   18 |          60 | Y         |      28
        1 |   18 |          28 | U         |      28
        2 |   17 |          27 | V         |      29
        1 |   18 |          29 | U         |      29
        2 |   18 |          61 | Y         |      29
        1 |   18 |          30 | U         |      30
        2 |   18 |          62 | Y         |      30
        2 |   17 |          29 | V         |      30
        2 |   18 |          63 | Y         |      31
        2 |   17 |          31 | V         |      31
        1 |   18 |          31 | U         |      31
        2 |   16 |           1 | V         |      32
        2 |   17 |          32 | Y         |      32
        1 |   18 |          32 | U         |      32
        2 |   17 |          33 | Y         |      33
        2 |   16 |           3 | V         |      33
        1 |   18 |          33 | U         |      33
        1 |   18 |          34 | U         |      34
        2 |   16 |           5 | V         |      34
        2 |   17 |          34 | Y         |      34
        2 |   16 |           7 | V         |      35
        1 |   18 |          35 | U         |      35
        2 |   17 |          35 | Y         |      35
        2 |   17 |          36 | Y         |      36
        2 |   16 |           9 | V         |      36
        1 |   18 |          36 | U         |      36
        2 |   17 |          37 | Y         |      37
        1 |   18 |          37 | U         |      37
        2 |   16 |          11 | V         |      37
        2 |   16 |          13 | V         |      38
        1 |   18 |          38 | U         |      38
        2 |   17 |          38 | Y         |      38
        2 |   16 |          15 | V         |      39
        1 |   18 |          39 | U         |      39
        2 |   17 |          39 | Y         |      39
        2 |   16 |          17 | V         |      40
        1 |   18 |          40 | U         |      40
        2 |   17 |          40 | Y         |      40
        2 |   16 |          19 | V         |      41
        2 |   17 |          41 | Y         |      41
        1 |   18 |          41 | U         |      41
        1 |   18 |          42 | U         |      42
        2 |   16 |          21 | V         |      42
        2 |   17 |          42 | Y         |      42
        2 |   16 |          23 | V         |      43
        2 |   17 |          43 | Y         |      43
        1 |   18 |          43 | U         |      43
        1 |   18 |          44 | U         |      44
        2 |   17 |          44 | Y         |      44
        2 |   16 |          25 | V         |      44
        1 |   18 |          45 | U         |      45
        2 |   16 |          27 | V         |      45
        2 |   17 |          45 | Y         |      45
        2 |   16 |          29 | V         |      46
        1 |   18 |          46 | U         |      46
        2 |   17 |          46 | Y         |      46
        2 |   16 |          31 | V         |      47
        2 |   17 |          47 | Y         |      47
        1 |   18 |          47 | U         |      47
        2 |   17 |          48 | Y         |      48
        1 |   18 |          48 | U         |      48
        2 |   15 |           1 | V         |      48
        2 |   15 |           3 | V         |      49
        2 |   17 |          49 | Y         |      49
        1 |   18 |          49 | U         |      49
        1 |   18 |          50 | U         |      50
        2 |   17 |          50 | Y         |      50
        2 |   15 |           5 | V         |      50
        2 |   15 |           7 | V         |      51
        1 |   18 |          51 | U         |      51
        2 |   17 |          51 | Y         |      51
        2 |   17 |          52 | Y         |      52
        2 |   15 |           9 | V         |      52
        1 |   18 |          52 | U         |      52
        1 |   18 |          53 | U         |      53
        2 |   17 |          53 | Y         |      53
        2 |   15 |          11 | V         |      53
        1 |   18 |          54 | U         |      54
        2 |   15 |          13 | V         |      54
        2 |   17 |          54 | Y         |      54
        2 |   17 |          55 | Y         |      55
        2 |   15 |          15 | V         |      55
        1 |   18 |          55 | U         |      55
        1 |   18 |          56 | U         |      56
        2 |   17 |          56 | Y         |      56
        2 |   15 |          17 | V         |      56
        2 |   15 |          19 | V         |      57
        2 |   17 |          57 | Y         |      57
        1 |   18 |          57 | U         |      57
        1 |   18 |          58 | U         |      58
        2 |   17 |          58 | Y         |      58
        2 |   15 |          21 | V         |      58
        2 |   17 |          59 | Y         |      59
        1 |   18 |          59 | U         |      59
        2 |   15 |          23 | V         |      59
        2 |   15 |          25 | V         |      60
        2 |   17 |          60 | Y         |      60
        1 |   18 |          60 | U         |      60
        1 |   18 |          61 | U         |      61
        2 |   17 |          61 | Y         |      61
        2 |   15 |          27 | V         |      61
        2 |   17 |          62 | Y         |      62
        1 |   18 |          62 | U         |      62
        2 |   15 |          29 | V         |      62
        2 |   15 |          31 | V         |      63
        1 |   18 |          63 | U         |      63
        2 |   17 |          63 | Y         |      63
        1 |   17 |           0 | U         |      64
        2 |   16 |          32 | Y         |      64
        2 |   14 |           1 | V         |      64
        2 |   16 |          33 | Y         |      65
        2 |   14 |           3 | V         |      65
        1 |   17 |           1 | U         |      65
        2 |   16 |          34 | Y         |      66
        2 |   14 |           5 | V         |      66
        1 |   17 |           2 | U         |      66
        2 |   16 |          35 | Y         |      67
        1 |   17 |           3 | U         |      67
        2 |   14 |           7 | V         |      67
        2 |   16 |          36 | Y         |      68
        2 |   14 |           9 | V         |      68
        1 |   17 |           4 | U         |      68
        1 |   17 |           5 | U         |      69
        2 |   16 |          37 | Y         |      69
        2 |   14 |          11 | V         |      69
        2 |   14 |          13 | V         |      70
        1 |   17 |           6 | U         |      70
        2 |   16 |          38 | Y         |      70
        2 |   14 |          15 | V         |      71
        2 |   16 |          39 | Y         |      71
        1 |   17 |           7 | U         |      71
        2 |   16 |          40 | Y         |      72
        1 |   17 |           8 | U         |      72
        2 |   14 |          17 | V         |      72
        2 |   16 |          41 | Y         |      73
        1 |   17 |           9 | U         |      73
        2 |   14 |          19 | V         |      73
        1 |   17 |          10 | U         |      74
        2 |   16 |          42 | Y         |      74
        2 |   14 |          21 | V         |      74
        2 |   14 |          23 | V         |      75
        2 |   16 |          43 | Y         |      75
        1 |   17 |          11 | U         |      75
        2 |   16 |          44 | Y         |      76
        2 |   14 |          25 | V         |      76
        1 |   17 |          12 | U         |      76
        1 |   17 |          13 | U         |      77
        2 |   14 |          27 | V         |      77
        2 |   16 |          45 | Y         |      77
        2 |   16 |          46 | Y         |      78
        1 |   17 |          14 | U         |      78
        2 |   14 |          29 | V         |      78
        2 |   14 |          31 | V         |      79
        2 |   16 |          47 | Y         |      79
        1 |   17 |          15 | U         |      79
        1 |   17 |          16 | U         |      80
        2 |   16 |          48 | Y         |      80
        2 |   13 |           1 | V         |      80
        1 |   17 |          17 | U         |      81
        2 |   16 |          49 | Y         |      81
        2 |   13 |           3 | V         |      81
        2 |   16 |          50 | Y         |      82
        2 |   13 |           5 | V         |      82
        1 |   17 |          18 | U         |      82
        2 |   16 |          51 | Y         |      83
        2 |   13 |           7 | V         |      83
        1 |   17 |          19 | U         |      83
        1 |   17 |          20 | U         |      84
        2 |   13 |           9 | V         |      84
        2 |   16 |          52 | Y         |      84
        1 |   17 |          21 | U         |      85
        2 |   13 |          11 | V         |      85
        2 |   16 |          53 | Y         |      85
        1 |   17 |          22 | U         |      86
        2 |   13 |          13 | V         |      86
        2 |   16 |          54 | Y         |      86
        1 |   17 |          23 | U         |      87
        2 |   16 |          55 | Y         |      87
        2 |   13 |          15 | V         |      87
        2 |   16 |          56 | Y         |      88
        1 |   17 |          24 | U         |      88
        2 |   13 |          17 | V         |      88
        2 |   16 |          57 | Y         |      89
        2 |   13 |          19 | V         |      89
        1 |   17 |          25 | U         |      89
        1 |   17 |          26 | U         |      90
        2 |   16 |          58 | Y         |      90
        2 |   13 |          21 | V         |      90
        2 |   16 |          59 | Y         |      91
        1 |   17 |          27 | U         |      91
        2 |   13 |          23 | V         |      91
        2 |   16 |          60 | Y         |      92
        1 |   17 |          28 | U         |      92
        2 |   13 |          25 | V         |      92
        1 |   17 |          29 | U         |      93
        2 |   13 |          27 | V         |      93
        2 |   16 |          61 | Y         |      93
        1 |   17 |          30 | U         |      94
        2 |   16 |          62 | Y         |      94
        2 |   13 |          29 | V         |      94
        2 |   13 |          31 | V         |      95
        1 |   17 |          31 | U         |      95
        2 |   16 |          63 | Y         |      95
        1 |   17 |          32 | U         |      96
        2 |   12 |           1 | V         |      96
        2 |   15 |          32 | Y         |      96
        2 |   12 |           3 | V         |      97
        1 |   17 |          33 | U         |      97
        2 |   15 |          33 | Y         |      97
        1 |   17 |          34 | U         |      98
        2 |   15 |          34 | Y         |      98
        2 |   12 |           5 | V         |      98
        2 |   15 |          35 | Y         |      99
        1 |   17 |          35 | U         |      99
        2 |   12 |           7 | V         |      99
        2 |   15 |          36 | Y         |     100
        1 |   17 |          36 | U         |     100
        2 |   12 |           9 | V         |     100
        1 |   17 |          37 | U         |     101
        2 |   15 |          37 | Y         |     101
        2 |   12 |          11 | V         |     101
        1 |   17 |          38 | U         |     102
        2 |   12 |          13 | V         |     102
        2 |   15 |          38 | Y         |     102
        2 |   12 |          15 | V         |     103
        2 |   15 |          39 | Y         |     103
        1 |   17 |          39 | U         |     103
        2 |   15 |          40 | Y         |     104
        1 |   17 |          40 | U         |     104
        2 |   12 |          17 | V         |     104
        2 |   15 |          41 | Y         |     105
        2 |   12 |          19 | V         |     105
        1 |   17 |          41 | U         |     105
        2 |   12 |          21 | V         |     106
        2 |   15 |          42 | Y         |     106
        1 |   17 |          42 | U         |     106
        2 |   15 |          43 | Y         |     107
        2 |   12 |          23 | V         |     107
        1 |   17 |          43 | U         |     107
        2 |   12 |          25 | V         |     108
        1 |   17 |          44 | U         |     108
        2 |   15 |          44 | Y         |     108
        1 |   17 |          45 | U         |     109
        2 |   15 |          45 | Y         |     109
        2 |   12 |          27 | V         |     109
        2 |   12 |          29 | V         |     110
        1 |   17 |          46 | U         |     110
        2 |   15 |          46 | Y         |     110
        2 |   12 |          31 | V         |     111
        1 |   17 |          47 | U         |     111
        2 |   15 |          47 | Y         |     111
        2 |   15 |          48 | Y         |     112
        1 |   17 |          48 | U         |     112
        2 |   11 |           1 | V         |     112
        2 |   11 |           3 | V         |     113
        1 |   17 |          49 | U         |     113
        2 |   15 |          49 | Y         |     113
        2 |   11 |           5 | V         |     114
        2 |   15 |          50 | Y         |     114
        1 |   17 |          50 | U         |     114
        1 |   17 |          51 | U         |     115
        2 |   15 |          51 | Y         |     115
        2 |   11 |           7 | V         |     115
        1 |   17 |          52 | U         |     116
        2 |   15 |          52 | Y         |     116
        2 |   11 |           9 | V         |     116
        2 |   15 |          53 | Y         |     117
        1 |   17 |          53 | U         |     117
        2 |   11 |          11 | V         |     117
        1 |   17 |          54 | U         |     118
        2 |   11 |          13 | V         |     118
        2 |   15 |          54 | Y         |     118
        2 |   11 |          15 | V         |     119
        2 |   15 |          55 | Y         |     119
        1 |   17 |          55 | U         |     119
        1 |   17 |          56 | U         |     120
        2 |   15 |          56 | Y         |     120
        2 |   11 |          17 | V         |     120
        1 |   17 |          57 | U         |     121
        2 |   15 |          57 | Y         |     121
        2 |   11 |          19 | V         |     121
        1 |   17 |          58 | U         |     122
        2 |   15 |          58 | Y         |     122
        2 |   11 |          21 | V         |     122
        1 |   17 |          59 | U         |     123
        2 |   11 |          23 | V         |     123
        2 |   15 |          59 | Y         |     123
        1 |   17 |          60 | U         |     124
        2 |   11 |          25 | V         |     124
        2 |   15 |          60 | Y         |     124
        2 |   11 |          27 | V         |     125
        1 |   17 |          61 | U         |     125
        2 |   15 |          61 | Y         |     125
        2 |   11 |          29 | V         |     126
        2 |   15 |          62 | Y         |     126
        1 |   17 |          62 | U         |     126
        2 |   15 |          63 | Y         |     127
        1 |   17 |          63 | U         |     127
        2 |   11 |          31 | V         |     127
        2 |   14 |          32 | Y         |     128
        1 |   16 |           0 | U         |     128
        2 |   10 |           1 | V         |     128
        2 |   10 |           3 | V         |     129
        2 |   14 |          33 | Y         |     129
        1 |   16 |           1 | U         |     129
        1 |   16 |           2 | U         |     130
        2 |   10 |           5 | V         |     130
        2 |   14 |          34 | Y         |     130
        1 |   16 |           3 | U         |     131
        2 |   14 |          35 | Y         |     131
        2 |   10 |           7 | V         |     131
        1 |   16 |           4 | U         |     132
        2 |   10 |           9 | V         |     132
        2 |   14 |          36 | Y         |     132
        1 |   16 |           5 | U         |     133
        2 |   10 |          11 | V         |     133
        2 |   14 |          37 | Y         |     133
        1 |   16 |           6 | U         |     134
        2 |   10 |          13 | V         |     134
        2 |   14 |          38 | Y         |     134
        2 |   14 |          39 | Y         |     135
        1 |   16 |           7 | U         |     135
        2 |   10 |          15 | V         |     135
        2 |   10 |          17 | V         |     136
        1 |   16 |           8 | U         |     136
        2 |   14 |          40 | Y         |     136
        1 |   16 |           9 | U         |     137
        2 |   14 |          41 | Y         |     137
        2 |   10 |          19 | V         |     137
        2 |   14 |          42 | Y         |     138
        1 |   16 |          10 | U         |     138
        2 |   10 |          21 | V         |     138
        2 |   14 |          43 | Y         |     139
        2 |   10 |          23 | V         |     139
        1 |   16 |          11 | U         |     139
        2 |   14 |          44 | Y         |     140
        1 |   16 |          12 | U         |     140
        2 |   10 |          25 | V         |     140
        2 |   14 |          45 | Y         |     141
        1 |   16 |          13 | U         |     141
        2 |   10 |          27 | V         |     141
        2 |   10 |          29 | V         |     142
        1 |   16 |          14 | U         |     142
        2 |   14 |          46 | Y         |     142
        2 |   10 |          31 | V         |     143
        2 |   14 |          47 | Y         |     143
        1 |   16 |          15 | U         |     143
        2 |    9 |           1 | V         |     144
        1 |   16 |          16 | U         |     144
        2 |   14 |          48 | Y         |     144
        2 |   14 |          49 | Y         |     145
        2 |    9 |           3 | V         |     145
        1 |   16 |          17 | U         |     145
        1 |   16 |          18 | U         |     146
        2 |    9 |           5 | V         |     146
        2 |   14 |          50 | Y         |     146
        1 |   16 |          19 | U         |     147
        2 |   14 |          51 | Y         |     147
        2 |    9 |           7 | V         |     147
        1 |   16 |          20 | U         |     148
        2 |    9 |           9 | V         |     148
        2 |   14 |          52 | Y         |     148
        2 |   14 |          53 | Y         |     149
        2 |    9 |          11 | V         |     149
        1 |   16 |          21 | U         |     149
        2 |    9 |          13 | V         |     150
        2 |   14 |          54 | Y         |     150
        1 |   16 |          22 | U         |     150
        1 |   16 |          23 | U         |     151
        2 |    9 |          15 | V         |     151
        2 |   14 |          55 | Y         |     151
        2 |    9 |          17 | V         |     152
        2 |   14 |          56 | Y         |     152
        1 |   16 |          24 | U         |     152
        1 |   16 |          25 | U         |     153
        2 |   14 |          57 | Y         |     153
        2 |    9 |          19 | V         |     153
        1 |   16 |          26 | U         |     154
        2 |   14 |          58 | Y         |     154
        2 |    9 |          21 | V         |     154
        2 |   14 |          59 | Y         |     155
        1 |   16 |          27 | U         |     155
        2 |    9 |          23 | V         |     155
        1 |   16 |          28 | U         |     156
        2 |    9 |          25 | V         |     156
        2 |   14 |          60 | Y         |     156
        2 |   14 |          61 | Y         |     157
        1 |   16 |          29 | U         |     157
        2 |    9 |          27 | V         |     157
        2 |    9 |          29 | V         |     158
        2 |   14 |          62 | Y         |     158
        1 |   16 |          30 | U         |     158
        2 |    9 |          31 | V         |     159
        1 |   16 |          31 | U         |     159
        2 |   14 |          63 | Y         |     159
        2 |    8 |           1 | V         |     160
        2 |   13 |          32 | Y         |     160
        1 |   16 |          32 | U         |     160
        2 |    8 |           3 | V         |     161
        1 |   16 |          33 | U         |     161
        2 |   13 |          33 | Y         |     161
        1 |   16 |          34 | U         |     162
        2 |    8 |           5 | V         |     162
        2 |   13 |          34 | Y         |     162
        2 |    8 |           7 | V         |     163
        1 |   16 |          35 | U         |     163
        2 |   13 |          35 | Y         |     163
        2 |   13 |          36 | Y         |     164
        2 |    8 |           9 | V         |     164
        1 |   16 |          36 | U         |     164
        2 |    8 |          11 | V         |     165
        1 |   16 |          37 | U         |     165
        2 |   13 |          37 | Y         |     165
        2 |    8 |          13 | V         |     166
        2 |   13 |          38 | Y         |     166
        1 |   16 |          38 | U         |     166
        2 |    8 |          15 | V         |     167
        2 |   13 |          39 | Y         |     167
        1 |   16 |          39 | U         |     167
        1 |   16 |          40 | U         |     168
        2 |    8 |          17 | V         |     168
        2 |   13 |          40 | Y         |     168
        2 |   13 |          41 | Y         |     169
        2 |    8 |          19 | V         |     169
        1 |   16 |          41 | U         |     169
        1 |   16 |          42 | U         |     170
        2 |    8 |          21 | V         |     170
        2 |   13 |          42 | Y         |     170
        1 |   16 |          43 | U         |     171
        2 |    8 |          23 | V         |     171
        2 |   13 |          43 | Y         |     171
        2 |   13 |          44 | Y         |     172
        1 |   16 |          44 | U         |     172
        2 |    8 |          25 | V         |     172
        2 |    8 |          27 | V         |     173
        2 |   13 |          45 | Y         |     173
        1 |   16 |          45 | U         |     173
        2 |    8 |          29 | V         |     174
        1 |   16 |          46 | U         |     174
        2 |   13 |          46 | Y         |     174
        1 |   16 |          47 | U         |     175
        2 |    8 |          31 | V         |     175
        2 |   13 |          47 | Y         |     175
        1 |   16 |          48 | U         |     176
        2 |    7 |           1 | V         |     176
        2 |   13 |          48 | Y         |     176
        1 |   16 |          49 | U         |     177
        2 |   13 |          49 | Y         |     177
        2 |    7 |           3 | V         |     177
        2 |    7 |           5 | V         |     178
        2 |   13 |          50 | Y         |     178
        1 |   16 |          50 | U         |     178
        2 |   13 |          51 | Y         |     179
        1 |   16 |          51 | U         |     179
        2 |    7 |           7 | V         |     179
        2 |   13 |          52 | Y         |     180
        1 |   16 |          52 | U         |     180
        2 |    7 |           9 | V         |     180
        1 |   16 |          53 | U         |     181
        2 |   13 |          53 | Y         |     181
        2 |    7 |          11 | V         |     181
        2 |    7 |          13 | V         |     182
        1 |   16 |          54 | U         |     182
        2 |   13 |          54 | Y         |     182
        2 |   13 |          55 | Y         |     183
        2 |    7 |          15 | V         |     183
        1 |   16 |          55 | U         |     183
        1 |   16 |          56 | U         |     184
        2 |    7 |          17 | V         |     184
        2 |   13 |          56 | Y         |     184
        2 |   13 |          57 | Y         |     185
        2 |    7 |          19 | V         |     185
        1 |   16 |          57 | U         |     185
        1 |   16 |          58 | U         |     186
        2 |   13 |          58 | Y         |     186
        2 |    7 |          21 | V         |     186
        2 |    7 |          23 | V         |     187
        1 |   16 |          59 | U         |     187
        2 |   13 |          59 | Y         |     187
        1 |   16 |          60 | U         |     188
        2 |   13 |          60 | Y         |     188
        2 |    7 |          25 | V         |     188
        2 |   13 |          61 | Y         |     189
        2 |    7 |          27 | V         |     189
        1 |   16 |          61 | U         |     189
        2 |   13 |          62 | Y         |     190
        2 |    7 |          29 | V         |     190
        1 |   16 |          62 | U         |     190
        2 |   13 |          63 | Y         |     191
        2 |    7 |          31 | V         |     191
        1 |   16 |          63 | U         |     191
        1 |   15 |           0 | U         |     192
        2 |    6 |           1 | V         |     192
        2 |   12 |          32 | Y         |     192
        2 |   12 |          33 | Y         |     193
        2 |    6 |           3 | V         |     193
        1 |   15 |           1 | U         |     193
        2 |    6 |           5 | V         |     194
        2 |   12 |          34 | Y         |     194
        1 |   15 |           2 | U         |     194
        1 |   15 |           3 | U         |     195
        2 |    6 |           7 | V         |     195
        2 |   12 |          35 | Y         |     195
        1 |   15 |           4 | U         |     196
        2 |   12 |          36 | Y         |     196
        2 |    6 |           9 | V         |     196
        1 |   15 |           5 | U         |     197
        2 |    6 |          11 | V         |     197
        2 |   12 |          37 | Y         |     197
        2 |    6 |          13 | V         |     198
        2 |   12 |          38 | Y         |     198
        1 |   15 |           6 | U         |     198
        2 |   12 |          39 | Y         |     199
        2 |    6 |          15 | V         |     199
        1 |   15 |           7 | U         |     199
        2 |   12 |          40 | Y         |     200
        1 |   15 |           8 | U         |     200
        2 |    6 |          17 | V         |     200
        2 |   12 |          41 | Y         |     201
        1 |   15 |           9 | U         |     201
        2 |    6 |          19 | V         |     201
        2 |    6 |          21 | V         |     202
        2 |   12 |          42 | Y         |     202
        1 |   15 |          10 | U         |     202
        1 |   15 |          11 | U         |     203
        2 |   12 |          43 | Y         |     203
        2 |    6 |          23 | V         |     203
        2 |   12 |          44 | Y         |     204
        1 |   15 |          12 | U         |     204
        2 |    6 |          25 | V         |     204
        2 |    6 |          27 | V         |     205
        1 |   15 |          13 | U         |     205
        2 |   12 |          45 | Y         |     205
        2 |    6 |          29 | V         |     206
        2 |   12 |          46 | Y         |     206
        1 |   15 |          14 | U         |     206
        2 |    6 |          31 | V         |     207
        2 |   12 |          47 | Y         |     207
        1 |   15 |          15 | U         |     207
        2 |    5 |           1 | V         |     208
        2 |   12 |          48 | Y         |     208
        1 |   15 |          16 | U         |     208
        1 |   15 |          17 | U         |     209
        2 |    5 |           3 | V         |     209
        2 |   12 |          49 | Y         |     209
        2 |    5 |           5 | V         |     210
        2 |   12 |          50 | Y         |     210
        1 |   15 |          18 | U         |     210
        2 |    5 |           7 | V         |     211
        2 |   12 |          51 | Y         |     211
        1 |   15 |          19 | U         |     211
        1 |   15 |          20 | U         |     212
        2 |   12 |          52 | Y         |     212
        2 |    5 |           9 | V         |     212
        1 |   15 |          21 | U         |     213
        2 |    5 |          11 | V         |     213
        2 |   12 |          53 | Y         |     213
        2 |   12 |          54 | Y         |     214
        2 |    5 |          13 | V         |     214
        1 |   15 |          22 | U         |     214
        2 |    5 |          15 | V         |     215
        1 |   15 |          23 | U         |     215
        2 |   12 |          55 | Y         |     215
        2 |   12 |          56 | Y         |     216
        1 |   15 |          24 | U         |     216
        2 |    5 |          17 | V         |     216
        1 |   15 |          25 | U         |     217
        2 |   12 |          57 | Y         |     217
        2 |    5 |          19 | V         |     217
        2 |   12 |          58 | Y         |     218
        1 |   15 |          26 | U         |     218
        2 |    5 |          21 | V         |     218
        2 |    5 |          23 | V         |     219
        2 |   12 |          59 | Y         |     219
        1 |   15 |          27 | U         |     219
        2 |   12 |          60 | Y         |     220
        1 |   15 |          28 | U         |     220
        2 |    5 |          25 | V         |     220
        2 |   12 |          61 | Y         |     221
        2 |    5 |          27 | V         |     221
        1 |   15 |          29 | U         |     221
        1 |   15 |          30 | U         |     222
        2 |   12 |          62 | Y         |     222
        2 |    5 |          29 | V         |     222
        1 |   15 |          31 | U         |     223
        2 |    5 |          31 | V         |     223
        2 |   12 |          63 | Y         |     223
        2 |   11 |          32 | Y         |     224
        2 |    4 |           1 | V         |     224
        1 |   15 |          32 | U         |     224
        2 |    4 |           3 | V         |     225
        1 |   15 |          33 | U         |     225
        2 |   11 |          33 | Y         |     225
        1 |   15 |          34 | U         |     226
        2 |    4 |           5 | V         |     226
        2 |   11 |          34 | Y         |     226
        2 |    4 |           7 | V         |     227
        2 |   11 |          35 | Y         |     227
        1 |   15 |          35 | U         |     227
        1 |   15 |          36 | U         |     228
        2 |    4 |           9 | V         |     228
        2 |   11 |          36 | Y         |     228
        2 |   11 |          37 | Y         |     229
        1 |   15 |          37 | U         |     229
        2 |    4 |          11 | V         |     229
        1 |   15 |          38 | U         |     230
        2 |    4 |          13 | V         |     230
        2 |   11 |          38 | Y         |     230
        1 |   15 |          39 | U         |     231
        2 |   11 |          39 | Y         |     231
        2 |    4 |          15 | V         |     231
        2 |    4 |          17 | V         |     232
        1 |   15 |          40 | U         |     232
        2 |   11 |          40 | Y         |     232
        2 |   11 |          41 | Y         |     233
        1 |   15 |          41 | U         |     233
        2 |    4 |          19 | V         |     233
        2 |   11 |          42 | Y         |     234
        1 |   15 |          42 | U         |     234
        2 |    4 |          21 | V         |     234
        2 |   11 |          43 | Y         |     235
        2 |    4 |          23 | V         |     235
        1 |   15 |          43 | U         |     235
        2 |   11 |          44 | Y         |     236
        1 |   15 |          44 | U         |     236
        2 |    4 |          25 | V         |     236
        1 |   15 |          45 | U         |     237
        2 |   11 |          45 | Y         |     237
        2 |    4 |          27 | V         |     237
        2 |    4 |          29 | V         |     238
        1 |   15 |          46 | U         |     238
        2 |   11 |          46 | Y         |     238
        2 |    4 |          31 | V         |     239
        2 |   11 |          47 | Y         |     239
        1 |   15 |          47 | U         |     239
        3 |   18 |           1 | V         |     240
        1 |   15 |          48 | U         |     240
        2 |   11 |          48 | Y         |     240
        1 |   15 |          49 | U         |     241
        3 |   18 |           3 | V         |     241
        2 |   11 |          49 | Y         |     241
        3 |   18 |           5 | V         |     242
        1 |   15 |          50 | U         |     242
        2 |   11 |          50 | Y         |     242
        2 |   11 |          51 | Y         |     243
        1 |   15 |          51 | U         |     243
        3 |   18 |           7 | V         |     243
        1 |   15 |          52 | U         |     244
        3 |   18 |           9 | V         |     244
        2 |   11 |          52 | Y         |     244
        2 |   11 |          53 | Y         |     245
        1 |   15 |          53 | U         |     245
        3 |   18 |          11 | V         |     245
        3 |   18 |          13 | V         |     246
        1 |   15 |          54 | U         |     246
        2 |   11 |          54 | Y         |     246
        1 |   15 |          55 | U         |     247
        2 |   11 |          55 | Y         |     247
        3 |   18 |          15 | V         |     247
        2 |   11 |          56 | Y         |     248
        1 |   15 |          56 | U         |     248
        3 |   18 |          17 | V         |     248
        3 |   18 |          19 | V         |     249
        1 |   15 |          57 | U         |     249
        2 |   11 |          57 | Y         |     249
        3 |   18 |          21 | V         |     250
        1 |   15 |          58 | U         |     250
        2 |   11 |          58 | Y         |     250
        2 |   11 |          59 | Y         |     251
        1 |   15 |          59 | U         |     251
        3 |   18 |          23 | V         |     251
        2 |   11 |          60 | Y         |     252
        3 |   18 |          25 | V         |     252
        1 |   15 |          60 | U         |     252
